seq_documento_acordao,dificuldade,alvo,fold
214629796,Facil,treino,6
275022376,Facil,treino,5
219675821,Facil,treino,6
239001723,Facil,treino,1
284956904,Facil,treino,1
222436535,Facil,treino,4
214630388,Medio,treino,9
284029779,Medio,treino,8
263309100,Medio,treino,8
212575345,Medio,treino,3
243135406,Medio,treino,7
285434817,Medio,treino,8
272540255,Dificil,treino,9
212580777,Dificil,treino,8
241653369,Dificil,treino,3
284029110,Dificil,treino,10
281725290,Dificil,treino,3
246654244,Dificil,treino,3
252412788,Facil,validacao,7
288529803,Facil,validacao,10
286972672,Facil,validacao,7
281725497,Facil,validacao,1
277706394,Facil,validacao,8
264536690,Medio,validacao,10
284393251,Medio,validacao,4
272542445,Medio,validacao,4
284588021,Medio,validacao,4
218577698,Medio,validacao,2
241652199,Dificil,validacao,6
288532656,Dificil,validacao,8
282882339,Dificil,validacao,8
275022093,Dificil,validacao,4
214632811,Dificil,validacao,3
281725617,Facil,teste,1
284028696,Facil,teste,7
214630920,Facil,teste,5
215897024,Facil,teste,4
270025790,Facil,teste,7
212912286,Medio,teste,8
212577315,Medio,teste,4
203426328,Medio,teste,8
241654055,Medio,teste,2
223610185,Medio,teste,8
252412663,Dificil,teste,6
243139067,Dificil,teste,7
251142571,Dificil,teste,9
209123276,Dificil,teste,8
285434955,Dificil,teste,7
375925202,Facil,ineditos,12
375924952,Facil,ineditos,12
375923701,Facil,ineditos,12
375924761,Facil,ineditos,12
375923857,Facil,ineditos,12
375923932,Facil,ineditos,12
375924146,Facil,ineditos,12
375924869,Medio,ineditos,12
375923869,Medio,ineditos,12
375924136,Medio,ineditos,12
375924198,Medio,ineditos,12
375924686,Medio,ineditos,12
375923962,Medio,ineditos,12
375924732,Medio,ineditos,12
375923986,Dificil,ineditos,12
375722589,Dificil,ineditos,12
375924172,Dificil,ineditos,12
375924990,Dificil,ineditos,12
375921365,Dificil,ineditos,12
375924016,Dificil,ineditos,12
375924782,Dificil,ineditos,12
375923863,Dificil,ineditos,12
